method,test_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro,test_loss,best_iteration,n
Labeled LDA,0.6627777777777778,0.6568731033632849,0.6568731033632849,0.674538507922524,0.6627777777777778,1.4565893411636353,1.0,1800
NMF + CatBoost,0.6877777777777778,0.6867351590690687,0.6867351590690687,0.6925164044781008,0.6877777777777778,0.9810911469050536,1995.0,1800
Supervised BERTopic + CatBoost,0.6433333333333333,0.6408603094543122,0.6408603094543123,0.645946442605933,0.6433333333333333,1.1291991086160473,1986.0,1800
RAG + LLM (few-shot),0.6038888888888889,0.5938116236190825,0.5938116236190824,0.6160337968196791,0.6038888888888889,,,1800
RAG + LLM (v2: hier+balanced+negatives),0.5627777777777778,0.5481138932781034,0.5481138932781034,0.5820365772531885,0.5627777777777778,,,1800
CatBoost top-3 → LLM rerank,0.6638888888888889,0.6578898363252209,0.657889836325221,0.670541626363116,0.663888888888889,,,1800
Smart merge (gated by margin),0.6905555555555556,0.6890120014029874,0.6890120014029874,0.6943741661130424,0.6905555555555556,,,1800
